,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2015-05-22,2.04,2.04,2.04,2.04,62600,21910000.0,0.0,0.0,0.0,5.72
1,2015-05-28,2.04,2.04,2.04,2.04,500,175000.0,0.0,0.0,0.0,0.05
2,2015-06-10,4.29,4.29,4.29,4.29,940,658000.0,0.0,110.29,2.25,0.09
3,2015-06-11,4.29,4.32,5.57,4.29,14160,9932000.0,29.84,0.7,0.03,1.29
4,2015-06-12,5.57,4.29,5.57,4.29,130,102900.0,29.63,-0.69,-0.03,0.01
5,2015-06-15,4.96,4.96,4.96,4.35,1710,1234050.0,14.22,15.62,0.67,0.16
6,2015-06-16,4.96,4.97,4.98,4.95,1180,950220.0,0.6,0.2,0.01,0.11
7,2015-06-17,4.95,4.39,4.95,4.35,1070,766210.0,12.07,-11.67,-0.58,0.1
8,2015-06-18,4.29,4.35,4.61,4.29,1079,765792.0,7.29,-0.91,-0.04,0.1
9,2015-06-19,4.35,4.35,4.35,4.35,1140,809400.0,0.0,0.0,0.0,0.1
10,2015-06-24,4.35,4.35,4.35,4.35,50,35500.0,0.0,0.0,0.0,0.0
11,2015-06-25,4.29,4.33,4.35,4.29,170,120200.0,1.38,-0.46,-0.02,0.02
12,2015-06-26,4.32,4.34,4.36,4.32,60,42470.0,0.92,0.23,0.01,0.01
13,2015-06-30,4.32,4.31,4.32,4.29,80,56310.0,0.69,-0.69,-0.03,0.01
14,2015-07-03,3.97,4.03,4.29,3.9,180,117120.0,9.05,-6.5,-0.28,0.02
15,2015-07-06,4.35,4.29,4.35,4.27,57960,41144910.0,1.99,6.45,0.26,5.3
16,2015-07-07,3.97,3.97,3.97,3.97,20,13000.0,0.0,-7.46,-0.32,0.0
17,2015-07-08,3.33,3.33,3.33,3.33,10,5500.0,0.0,-16.12,-0.64,0.0
18,2015-07-09,3.97,3.97,3.97,3.97,40,26000.0,0.0,19.22,0.64,0.0
19,2015-07-10,4.0,3.97,4.03,3.97,80,52350.0,1.51,0.0,0.0,0.01
20,2015-07-13,3.97,4.35,4.35,3.97,16280,11554000.0,9.57,9.57,0.38,1.49
21,2015-07-14,4.32,4.31,4.32,4.29,140,98500.0,0.69,-0.92,-0.04,0.01
22,2015-07-16,5.89,5.89,5.89,5.89,20,19000.0,0.0,36.66,1.58,0.0
23,2015-07-22,4.93,4.93,4.93,4.93,10,8000.0,0.0,-16.3,-0.96,0.0
24,2015-07-24,5.89,5.95,6.02,5.89,20,19200.0,2.64,20.69,1.02,0.0
25,2015-07-28,4.93,4.93,4.93,4.93,10,8000.0,0.0,-17.14,-1.02,0.0
26,2015-07-31,5.25,5.7,6.15,5.25,20,18400.0,18.26,15.62,0.77,0.0
27,2015-08-06,4.93,4.93,4.93,4.93,30,24000.0,0.0,-13.51,-0.77,0.0
28,2015-08-10,4.8,4.8,4.8,4.8,50,39000.0,0.0,-2.64,-0.13,0.0
29,2015-11-10,4.13,4.13,4.13,4.13,10,6750.0,0.0,-13.96,-0.67,0.0
30,2015-11-11,4.06,4.06,4.06,4.06,20,13300.0,0.0,-1.69,-0.07,0.0
31,2015-11-16,4.13,4.13,4.13,4.13,30,20250.0,0.0,1.72,0.07,0.0
32,2015-11-19,4.16,4.16,4.16,4.16,30,20400.0,0.0,0.73,0.03,0.0
33,2015-11-20,4.35,4.35,4.35,4.35,30,21300.0,0.0,4.57,0.19,0.0
34,2015-11-25,4.35,4.35,4.35,4.35,30,21300.0,0.0,0.0,0.0,0.0
35,2015-11-30,4.35,4.35,4.35,4.35,10,7100.0,0.0,0.0,0.0,0.0
36,2015-12-22,3.33,3.33,3.33,3.33,30,16500.0,0.0,-23.45,-1.02,0.0
37,2015-12-24,3.29,3.29,3.29,3.29,30,16350.0,0.0,-1.2,-0.04,0.0
38,2015-12-25,3.26,3.26,3.26,3.26,650,351000.0,0.0,-0.91,-0.03,0.06
39,2015-12-28,3.26,3.26,3.26,3.26,50,27000.0,0.0,0.0,0.0,0.0
40,2015-12-31,5.25,5.25,5.25,5.25,800,680000.0,0.0,61.04,1.99,0.07
41,2016-01-04,5.25,5.25,5.25,5.25,200,170000.0,0.0,0.0,0.0,0.02
42,2016-01-06,3.26,3.28,3.65,3.26,509,276130.0,7.43,-37.52,-1.97,0.05
43,2016-03-31,5.25,5.25,5.25,5.25,1000,850000.0,0.0,60.06,1.97,0.09
44,2016-09-23,2.68,2.68,2.68,2.68,10,4500.0,0.0,-48.95,-2.57,0.0
45,2016-09-28,5.25,5.25,5.25,5.25,10,8500.0,0.0,95.9,2.57,0.0
46,2016-12-12,2.36,2.36,2.36,2.36,50,20000.0,0.0,-55.05,-2.89,0.0
47,2016-12-15,5.25,5.25,5.25,5.25,10,8500.0,0.0,122.46,2.89,0.0
48,2017-06-05,5.7,5.7,5.7,5.7,4900,4508000.0,0.0,8.57,0.45,0.45
49,2017-06-06,5.7,5.7,5.7,5.7,11400,10488000.0,0.0,0.0,0.0,1.04
50,2017-06-12,5.7,5.7,5.7,5.7,8200,7544000.0,0.0,0.0,0.0,0.75
51,2017-06-19,5.7,5.7,5.7,5.7,500,460000.0,0.0,0.0,0.0,0.05
52,2017-06-22,5.7,5.7,5.7,5.7,200,184000.0,0.0,0.0,0.0,0.02
53,2017-10-24,3.13,3.13,3.13,3.13,10,4000.0,0.0,-45.09,-2.57,0.0
54,2017-11-01,5.63,5.63,5.63,5.63,10,7000.0,0.0,79.87,2.5,0.0
55,2017-11-07,2.72,3.13,3.55,2.72,1253,443959.0,14.74,-44.4,-2.5,0.11
56,2017-11-08,3.13,3.13,3.13,3.13,30,12000.0,0.0,0.0,0.0,0.0
57,2017-11-09,4.79,3.23,4.79,2.72,120,49490.0,66.13,3.19,0.1,0.01
58,2017-11-10,4.78,4.78,4.78,4.78,10,5970.0,0.0,47.99,1.55,0.0
59,2017-11-13,2.3,2.64,3.29,2.3,70,23840.0,20.71,-44.77,-2.14,0.01
60,2017-11-14,2.72,2.93,3.13,2.72,20,7500.0,15.53,10.98,0.29,0.0
61,2017-11-15,3.13,3.13,3.13,3.13,20,8000.0,0.0,6.83,0.2,0.0
62,2017-11-16,2.72,2.72,2.72,2.72,250,87500.0,0.0,-13.1,-0.41,0.02
63,2017-11-17,2.72,2.72,2.72,2.72,30,10500.0,0.0,0.0,0.0,0.0
64,2017-11-20,2.72,2.72,2.73,2.72,70,24520.0,0.37,0.0,0.0,0.01
65,2017-11-21,2.72,2.72,2.73,2.72,30,10510.0,0.37,0.0,0.0,0.0
66,2017-11-23,2.72,2.72,2.72,2.72,20,7000.0,0.0,0.0,0.0,0.0
67,2017-11-24,5.63,5.63,5.63,5.63,10,7000.0,0.0,106.99,2.91,0.0
