,代码,名称,最新价,涨跌额,涨跌幅,买入,卖出,昨收,今开,最高,最低,成交量,成交额
0,bj430047,诺思兰德,20.06,1.12,5.913,20.03,20.06,18.94,18.97,20.19,18.6,7959094.0,156332084.0
1,bj430090,同辉信息,6.07,-0.02,-0.328,6.06,6.07,6.09,6.07,6.1,5.98,1203178.0,7265362.0
2,bj430198,微创光电,9.27,0.01,0.108,9.27,9.28,9.26,9.27,9.29,9.18,227143.0,2101350.0
3,bj430418,苏轴股份,14.51,0.02,0.138,14.51,14.55,14.49,14.44,14.59,14.42,88628.0,1285572.0
4,bj430489,佳先股份,13.35,-0.34,-2.484,13.33,13.35,13.69,13.68,13.7,13.34,591895.0,7951477.0
5,bj430510,丰光精密,16.75,-0.05,-0.298,16.58,16.75,16.8,16.49,16.82,16.49,92853.0,1543359.0
6,bj830799,艾融软件,15.23,-0.12,-0.782,15.19,15.23,15.35,15.35,15.36,13.85,341741.0,5088542.0
7,bj830832,齐鲁华信,7.97,0.04,0.504,7.97,7.98,7.93,7.94,8.0,7.84,163824.0,1296445.0
8,bj830839,万通液压,8.1,-0.08,-0.978,8.09,8.1,8.18,8.13,8.23,8.08,382247.0,3100361.0
9,bj830946,森萱医药,7.13,-0.08,-1.11,7.13,7.14,7.21,7.18,7.2,7.1,924999.0,6607589.0
10,bj830964,润农节水,4.51,-0.05,-1.096,4.51,4.52,4.56,4.57,4.57,4.5,836114.0,3783083.0
11,bj831010,凯添燃气,6.1,-0.12,-1.929,6.1,6.11,6.22,6.27,6.27,6.1,2203095.0,13565110.0
12,bj831039,国义招标,8.01,-0.09,-1.111,8.01,8.06,8.1,8.08,8.13,8.0,233354.0,1876302.0
13,bj831305,海希通讯,26.4,0.2,0.763,26.4,26.41,26.2,26.4,26.48,26.1,169352.0,4449409.0
14,bj831370,新安洁,5.51,0.02,0.364,5.5,5.51,5.49,5.49,5.52,5.47,543348.0,2987137.0
15,bj831445,龙竹科技,24.86,-0.57,-2.241,24.86,24.87,25.43,25.4,25.4,24.66,239805.0,5985108.0
16,bj831726,朱老六,13.57,0.0,0.0,13.5,13.57,13.57,13.5,13.59,13.42,83744.0,1128185.0
17,bj831768,拾比佰,10.84,-0.03,-0.276,10.84,10.87,10.87,10.88,10.98,10.78,348892.0,3784542.0
18,bj831832,科达自控,19.59,0.68,3.596,19.59,19.6,18.91,19.04,19.98,18.99,1553147.0,30423794.0
19,bj831856,浩淼科技,8.67,0.0,0.0,8.62,8.67,8.67,8.67,8.76,8.61,124747.0,1079635.0
20,bj831961,创远仪器,23.18,0.05,0.216,23.17,23.18,23.13,23.38,23.38,22.89,190542.0,4389283.0
21,bj832000,安徽凤凰,8.2,0.03,0.367,8.2,8.21,8.17,8.17,8.34,8.1,173230.0,1415168.0
22,bj832089,禾昌聚合,13.4,0.04,0.299,13.39,13.4,13.36,13.47,13.47,13.32,184623.0,2470695.0
23,bj832145,恒合股份,12.46,-0.03,-0.24,12.46,12.47,12.49,12.42,12.65,12.39,564622.0,7048333.0
24,bj832171,志晟信息,16.48,-0.02,-0.121,16.42,16.48,16.5,16.43,16.65,16.4,479457.0,7904686.0
25,bj832225,利通科技,8.73,0.04,0.46,8.7,8.73,8.69,8.74,8.75,8.65,54580.0,475040.0
26,bj832278,鹿得医疗,9.74,0.1,1.037,9.74,9.75,9.64,9.6,9.74,9.48,101029.0,977211.0
27,bj832317,观典防务,0.0,0.0,0.0,0.0,0.0,21.88,0.0,0.0,0.0,0.0,0.0
28,bj832566,梓橦宫,16.79,0.4,2.441,16.78,16.79,16.39,16.52,16.98,16.47,201413.0,3378325.0
29,bj832735,德源药业,21.42,-0.1,-0.465,21.35,21.41,21.52,21.4,21.49,21.31,67449.0,1443956.0
30,bj832885,星辰科技,21.58,-0.44,-1.998,21.58,21.65,22.02,22.35,22.35,21.55,243888.0,5300655.0
31,bj833266,生物谷,12.08,-0.1,-0.821,12.08,12.1,12.18,12.16,12.33,12.0,259361.0,3152537.0
32,bj833427,华维设计,10.34,0.1,0.977,10.34,10.35,10.24,10.25,10.35,10.24,145479.0,1500111.0
33,bj833454,同心传动,13.16,0.04,0.305,13.16,13.18,13.12,13.21,13.21,13.1,611325.0,8036710.0
34,bj833509,同惠电子,15.13,0.04,0.265,15.06,15.13,15.09,15.05,15.15,14.96,147935.0,2227611.0
35,bj833523,德瑞锂电,30.43,-0.32,-1.041,30.43,30.44,30.75,30.31,30.92,29.96,1027440.0,31147105.0
36,bj833819,颖泰生物,5.65,-0.04,-0.703,5.63,5.65,5.69,5.69,5.69,5.59,2202144.0,12408900.0
37,bj833873,中设咨询,6.28,0.08,1.29,6.27,6.28,6.2,6.21,6.31,6.18,1068981.0,6697263.0
38,bj833874,泰祥股份,0.0,0.0,0.0,0.0,0.0,20.13,0.0,0.0,0.0,0.0,0.0
39,bj833994,翰博高新,0.0,0.0,0.0,0.0,0.0,32.9,0.0,0.0,0.0,0.0,0.0
40,bj834021,流金岁月,4.56,0.0,0.0,4.56,4.57,4.56,4.55,4.62,4.54,875895.0,4010440.0
41,bj834415,恒拓开源,5.77,0.0,0.0,5.76,5.77,5.77,5.76,5.79,5.72,499324.0,2871835.0
42,bj834475,三友科技,10.79,-0.06,-0.553,10.79,10.8,10.85,10.71,10.83,10.67,305065.0,3268664.0
43,bj834599,同力股份,9.14,0.1,1.106,9.14,9.15,9.04,9.05,9.27,9.04,610447.0,5579955.0
44,bj834682,球冠电缆,6.79,-0.06,-0.876,6.79,6.8,6.85,6.85,6.93,6.77,587598.0,4003167.0
45,bj834765,美之高,9.39,0.13,1.404,9.36,9.39,9.26,9.2,9.43,9.2,78473.0,731977.0
46,bj835174,五新隧装,19.94,-0.22,-1.091,19.94,19.95,20.16,20.16,20.23,19.9,222811.0,4461136.0
47,bj835184,国源科技,8.34,-0.05,-0.596,8.33,8.34,8.39,8.37,8.41,8.3,209525.0,1749999.0
48,bj835185,贝特瑞,160.19,-0.36,-0.224,160.18,160.19,160.55,158.7,160.98,154.91,824886.0,114838643.0
