,序号,代码,名称,停牌时间,停牌截止时间,停牌期限,停牌原因,所属市场,预计复牌时间
0,1,601789,宁波建工,2017-03-17,2017-04-10,连续停牌,刊登重要公告,沪市A股,2017-04-11
1,2,300625,三雄极光,2017-03-17,2017-03-17,盘中停牌,交易异常波动,创业板,
2,3,300628,亿联网络,2017-03-17,2017-03-17,盘中停牌,交易异常波动,创业板,
3,4,002839,张家港行,2017-03-17,2017-03-31,连续停牌,交易异常波动,深主板A股,2017-04-05
4,5,603517,绝味食品,2017-03-17,2017-03-17,盘中停牌,交易异常波动,沪市A股,
5,6,603179,新泉股份,2017-03-17,2017-03-17,盘中停牌,交易异常波动,沪市A股,
6,7,300195,长荣股份,2017-03-17,2017-03-21,连续停牌,重要事项未公告,创业板,2017-03-22
7,8,600386,北巴传媒,2017-03-20,2017-03-21,连续停牌,刊登重要公告,沪市A股,2017-03-22
8,9,300626,华瑞股份,2017-03-20,2017-03-20,盘中停牌,交易异常波动,创业板,
9,10,603656,泰禾智能,2017-03-21,2017-03-21,盘中停牌,交易异常波动,沪市A股,
10,11,300627,华测导航,2017-03-21,2017-03-21,盘中停牌,交易异常波动,创业板,
11,12,600609,金杯汽车,2017-03-20,2017-08-22,连续停牌,拟筹划重大资产重组,沪市A股,2017-08-23
12,13,600853,龙建股份,2017-03-20,2017-03-24,连续停牌,刊登重要公告,沪市A股,2017-03-27
13,14,300460,惠伦晶体,2017-03-20,2017-03-31,连续停牌,重要事项未公告,创业板,2017-04-05
14,15,300478,杭州高新,2017-03-20,2017-08-04,连续停牌,拟筹划重大资产重组,创业板,2017-08-07
15,16,300621,维业股份,2017-03-16,2017-03-16,盘中停牌,交易异常波动,创业板,
16,17,603665,康隆达,2017-03-13,2017-03-13,盘中停牌,交易异常波动,沪市A股,
17,18,300453,三鑫医疗,2017-03-13,2017-03-24,连续停牌,重要事项未公告,创业板,2017-03-27
18,19,000733,振华科技,2017-03-13,2017-04-12,连续停牌,重要事项未公告,深主板A股,2017-04-13
19,20,300620,光库科技,2017-03-10,2017-03-10,盘中停牌,交易异常波动,创业板,
20,21,002852,道道全,2017-03-10,2017-03-10,盘中停牌,交易异常波动,深主板A股,
21,22,600271,航天信息,2017-03-10,2017-03-16,连续停牌,刊登重要公告,沪市A股,2017-03-17
22,23,600558,大西洋,2017-03-10,2017-03-16,连续停牌,重要事项未公告,沪市A股,2017-03-17
23,24,600867,通化东宝,2017-03-14,2017-03-29,连续停牌,重要事项未公告,沪市A股,2017-03-30
24,25,002094,青岛金王,2017-03-16,2017-03-22,连续停牌,刊登重要公告,深主板A股,2017-03-23
25,26,300190,维尔利,2017-03-16,2017-03-22,连续停牌,重要事项未公告,创业板,2017-03-23
26,27,601996,丰林集团,2017-03-16,2017-03-24,连续停牌,刊登重要公告,沪市A股,2017-03-27
27,28,600195,中牧股份,2017-03-16,2017-03-16,停牌一天,澄清公告,沪市A股,2017-03-17
28,29,300623,捷捷微电,2017-03-14,2017-03-14,盘中停牌,交易异常波动,创业板,
29,30,603811,诚意药业,2017-03-15,2017-03-15,盘中停牌,交易异常波动,沪市A股,
30,31,300622,博士眼镜,2017-03-15,2017-03-15,盘中停牌,交易异常波动,创业板,
31,32,002855,捷荣技术,2017-03-21,2017-03-21,盘中停牌,交易异常波动,深主板A股,
32,33,000639,西王食品,2017-03-29,2017-03-29,盘中停牌,重要事项未公告,深主板A股,2017-03-30
33,34,002616,长青集团,2017-03-30,2017-03-30,停牌半天,重要事项未公告,深主板A股,
